Kode,Industri,Market Cap
MGNA,Consumer Cyclicals,610562867200.0
MICE,Consumer Cyclicals,328506703872.0
MNCN,Consumer Cyclicals,3174518751232.0
MPMX,Consumer Cyclicals,4467420299264.0
MSKY,Consumer Cyclicals,797748166656.0
MYTX,Consumer Cyclicals,426100490240.0
PANR,Consumer Cyclicals,853312536576.0
PBRX,Consumer Cyclicals,902245253120.0
PDES,Consumer Cyclicals,378949992448.0
PGLI,Consumer Cyclicals,107360002048.0
PJAA,Consumer Cyclicals,879999975424.0
PNSE,Consumer Cyclicals,574425726976.0
POLY,Consumer Cyclicals,84855619584.0
PSKT,Consumer Cyclicals,2629212831744.0
PTSP,Consumer Cyclicals,218599915520.0
RALS,Consumer Cyclicals,2835143983104.0
RICY,Consumer Cyclicals,58396291072.0
SCMA,Consumer Cyclicals,19547952250880.0
SHID,Consumer Cyclicals,962620555264.0
SMSM,Consumer Cyclicals,10365616259072.0
SONA,Consumer Cyclicals,1503648022528.0
SRIL,Consumer Cyclicals,2986021224448.0
SSTM,Consumer Cyclicals,1773927399424.0
TELE,Consumer Cyclicals,65798365184.0
TFCO,Consumer Cyclicals,3761999446016.0
TMPO,Consumer Cyclicals,156633317376.0
TRIO,Consumer Cyclicals,
TRIS,Consumer Cyclicals,605982031872.0
UNIT,Consumer Cyclicals,23833415680.0
VIVA,Consumer Cyclicals,675035086848.0
JGLE,Consumer Cyclicals,835530653696.0
MARI,Consumer Cyclicals,178589892608.0
MKNT,Consumer Cyclicals,5500000256.0
BOGA,Consumer Cyclicals,5762341928960.0
CARS,Consumer Cyclicals,1380000071680.0
MINA,Consumer Cyclicals,3051562467328.0
MAPB,Consumer Cyclicals,3725159825408.0
WOOD,Consumer Cyclicals,2104689557504.0
HRTA,Consumer Cyclicals,12203945099264.0
MABA,Consumer Cyclicals,768259981312.0
BELL,Consumer Cyclicals,1031377584128.0
DFAM,Consumer Cyclicals,212783513600.0
PZZA,Consumer Cyclicals,637163995136.0
MSIN,Consumer Cyclicals,28275099303936.0
MAPA,Consumer Cyclicals,18812640428032.0
NUSA,Consumer Cyclicals,384999981056.0
FILM,Consumer Cyclicals,73218882797568.0
DIGI,Consumer Cyclicals,61749997568.0
DUCK,Consumer Cyclicals,225866088448.0
YELO,Consumer Cyclicals,183626334208.0
SOTS,Consumer Cyclicals,2280008974336.0
ZONE,Consumer Cyclicals,424643657728.0
CLAY,Consumer Cyclicals,7041799684096.0
NATO,Consumer Cyclicals,5800805793792.0
HRME,Consumer Cyclicals,321772519424.0
FITT,Consumer Cyclicals,1095588511744.0
BOLA,Consumer Cyclicals,1055999983616.0
POLU,Consumer Cyclicals,14850000420864.0
IPTV,Consumer Cyclicals,2025501622272.0
EAST,Consumer Cyclicals,379629305856.0
KOTA,Consumer Cyclicals,643317301248.0
INOV,Consumer Cyclicals,300164841472.0
SLIS,Consumer Cyclicals,214310420480.0
PMJS,Consumer Cyclicals,1650672009216.0
