Ticker,Industry,trailingPE,forwardPE,pegRatio,priceToBook,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,freeCashflow,operatingCashflow,revenueGrowth,earningsGrowth,averageVolume,volume,marketCap,regularMarketPrice,avg_value_traded,fundamental_score
SCMA,Consumer Cyclicals,23.868313,19.346231,,2.8179963,0.09142,0.053049996,0.111940004,0.12224,0.479,3.145,1.839,-156410740736,571294744576,-0.038,1.096,125845582,107886000,18416364683264,290.0,36495218780.0,432.97014896906273
HRTA,Consumer Cyclicals,11.904761,6.3735986,,3.617681,0.35108003,0.10757,0.021960001,0.03083,124.444,1.467,0.279,644821680128,1142547152896,2.919,1.871,38773082,12487300,11651314089984,2530.0,98095897460.0,736.1939615526921
MSIN,Consumer Cyclicals,81.98758,,,11.101299,0.15386,0.05035,0.25437,0.21836,4.022,2.515,2.127,-537635749888,433171005440,0.001,10.484,34714783,76785800,80092558524416,1320.0,45823513560.0,469.53725165998765
MAPA,Consumer Cyclicals,11.161086,10.442643,,2.1913328,0.21329,0.115030006,0.08926,0.15433,21.236,2.159,0.549,1605510627328,3215166013440,0.12,1.214,32266989,10957900,19097681133568,670.0,21618882630.0,611.8877918377394
SLIS,Consumer Cyclicals,,,,0.5345392,-0.0674,-0.02258,-0.11752,-0.20332001,14.486,8.9,2.958,33691465728,10271952896,-0.328,,73377573,24921700,214310535168,87.0,6383848851.0,276.57356212256406
FUTR,Consumer Cyclicals,,,,8.089589,0.03896,0.02935,0.12031999,0.00114,2.662,11.317,4.897,14262244352,14872726528,1.467,,31925644,54289800,1778327879680,268.0,8556072592.0,347.26641570487413
ERAL,Consumer Cyclicals,9.389383,,,0.9099857,0.09964,0.053439997,0.026029998,0.0309,23.923,1.783,0.547,-387637018624,130535727104,0.56,-0.002,21847932,14601900,1587374981120,306.0,6685467192.0,313.70165671776357
MEJA,Consumer Cyclicals,,,,2.5119374,-0.29334998,-0.11915,-0.76973,7.96176,19.278,2.698,2.068,26850142208,18485458944,,,62077592,76587900,248140726272,111.0,6890612712.0,270.61319022449885
GOLF,Consumer Cyclicals,75.187965,,,0.48605743,0.00648,0.00468,0.24039,0.37298,5.701,5.387,3.151,202868637696,44201893888,0.075,-0.515,59158358,6372500,3897352257536,200.0,11831671600.0,354.96151293106647
KAQI,Consumer Cyclicals,,,,1.8278617,0.10402001,0.07004,0.12227,0.15257,11.318,6.559,5.354,-43621867520,11720045568,0.662,0.204,278493546,68100100,213807398912,103.0,28684835238.0,388.367655447931
DOOH,Consumer Cyclicals,55.776894,,,4.4935164,0.07418,0.06182,0.08997,0.20683001,19.03,4.814,4.32,1898127104,68264296448,1.547,,92603850,72605700,1083444756480,140.0,12964539000.0,438.1275441751428
AALI,Consumer Non-Cyclicals,10.235448,12.842607,,0.639353,0.06493,0.049629997,0.05136,0.10872,,4.331,1.997,1754833616896,4210589958144,0.182,0.159,899101,545200,15060686602240,7825.0,7035465325.0,393.170318752899
